player_name,country,years_active,matches,innings,not_outs,runs,high_score,batting_average,hundreds,fifties,ducks,batting_strike_rate,balls_faced,boundary_%,sixes_hit,fours_hit,consistency_score,player_impact_score,man_of_the_match_awards,catches_taken,stumpings,run_outs,matches_won_contribution_(%),bowling_wickets,bowling_average,bowling_economy_rate,bowling_strike_rate,best_bowling_figures,overs_bowled,five-wicket_hauls,ten-wicket_hauls
PA de Silva (SL),New Zealand,2002-2021,401,455,21,15645,267,37.78,31,86,10,61.73,13125,52.1,348,1222,76.52,81.07,36,17,39,3,85.26,376,26.36,3.91,46.57,3/45,3863,3,9
M Azharuddin (IND),New Zealand,1980-2022,433,455,25,15593,199,39.77,29,79,3,112.94,2312,28.67,107,1291,57.59,52.13,21,38,12,59,51.3,216,29.2,9.21,50.55,5/31,3126,1,0
AC Gilchrist (AUS/ICC),New Zealand,2002-2023,396,429,43,15461,204*,38.94,33,81,14,74.55,7443,23.17,475,1722,90.59,57.73,18,16,36,67,48.01,417,48.46,9.19,47.65,5/19,1873,25,2
SP Fleming (ICC/NZ),Sri Lanka,1998-2023,396,463,3,15319,274*,35.46,17,95,5,103.88,10053,44.69,200,562,54.89,50.89,34,152,47,37,41.49,318,46.38,7.25,12.99,6/20,1634,11,8
Mushfiqur Rahim (BAN),Australia,2006-2021,467,520,1,15299,219*,34.22,20,82,17,88.25,4867,30.76,211,400,82.37,70.13,34,93,17,26,45.27,408,10.69,7.61,31.8,5/25,3209,37,2
AD Mathews (SL),England,2012-2024,430,470,39,15272,200*,40.94,19,90,4,126.93,9273,63.76,169,1485,61.07,97.73,12,231,25,43,41.68,64,19.68,5.09,37.31,3/10,1994,10,7
IVA Richards (WI),Australia,2010-2021,308,349,31,15261,291,48.75,35,90,4,108.99,18657,20.93,129,1769,82.81,59.72,41,12,32,35,22.93,311,15.43,4.71,27.78,3/26,4784,49,8
Tamim Iqbal (BAN/ICC/World),Pakistan,1997-2024,391,452,41,15249,206,35.21,25,94,13,143.38,13883,58.04,184,765,54.97,99.08,43,67,29,70,55.12,544,28.16,8.32,44.26,1/18,1211,2,4
ML Hayden (AUS/ICC),England,2009-2021,273,348,43,15066,380,47.67,40,69,7,135.27,7281,54.3,36,493,88.79,60.84,28,273,47,86,27.46,99,18.08,5.02,47.63,1/36,1621,3,3
Shakib Al Hasan (BAN),West Indies,2012-2023,447,491,47,14730,217,33.86,14,100,0,60.11,1598,28.45,67,99,66.19,92.64,49,149,28,60,34.62,286,27.3,3.93,51.95,6/15,4651,24,2
BB McCullum (NZ),New Zealand,1995-2021,432,474,43,14676,302,34.37,19,76,17,110.89,1858,36.31,307,1965,85.52,63.9,45,153,10,64,69.25,248,16.98,9.87,58.5,2/39,361,8,7
HH Gibbs (SA),South Africa,2013-2022,361,417,34,14661,228,37.30,35,66,11,78.01,10167,61.92,298,253,55.28,71.74,29,77,31,37,69.76,314,19.95,5.73,52.84,1/50,242,18,8
G Kirsten (SA),Australia,2000-2023,286,361,49,14087,275,43.07,34,79,12,113.32,14098,46.16,394,1920,54.51,93.94,24,295,8,96,37.36,251,47.14,5.55,28.42,4/48,3844,16,4
MS Atapattu (SL),Bangladesh,1985-2023,360,416,38,14036,249,38.03,27,76,5,120.02,7058,23.81,475,678,63.34,74.44,21,130,20,74,27.11,246,45.32,6.37,11.0,4/30,736,9,2
Babar Azam (PAK),England,2006-2022,296,331,42,13908,196,47.30,31,94,15,78.36,521,22.12,353,1609,89.94,79.14,5,133,29,59,43.44,150,27.62,8.47,32.92,1/24,3477,12,1
KP Pietersen (ENG/ICC),West Indies,1991-2021,277,342,39,13797,227,44.07,32,67,17,76.1,16121,62.8,69,735,98.16,56.33,17,125,27,75,21.83,465,47.02,3.59,44.16,7/10,3609,10,5
MJ Guptill (NZ),Pakistan,2018-2023,367,402,9,13463,237*,35.90,23,76,18,88.33,12982,63.84,439,117,98.91,78.51,47,120,1,43,64.54,120,28.75,6.14,39.68,4/48,4363,23,4
DC Boon (AUS),Pakistan,1994-2024,288,367,2,13386,200,40.44,26,69,11,107.94,5369,64.67,259,1438,92.53,79.81,30,161,37,50,29.06,432,12.35,4.18,34.54,5/46,3080,48,2
IR Bell (ENG),Bangladesh,2008-2024,287,370,39,13331,235,40.27,26,82,8,144.65,13709,60.2,347,888,50.85,50.96,19,263,11,8,32.04,284,45.37,6.53,11.47,5/43,1636,46,1
SM Gavaskar (IND),Bangladesh,1995-2023,233,316,33,13214,236*,46.20,35,72,2,60.73,17015,65.43,296,132,64.21,88.34,15,19,39,6,47.29,425,39.29,7.46,44.37,4/22,4864,40,0
GA Gooch (ENG),West Indies,2004-2021,243,337,35,13190,333,40.58,28,69,5,86.6,18127,23.59,261,219,88.63,77.74,13,246,10,30,74.13,153,37.46,8.5,43.02,7/24,2182,26,9
AJ Stewart (ENG),Pakistan,1988-2021,303,397,45,13140,190,36.29,19,73,13,134.25,9852,65.01,153,701,95.59,72.96,17,219,33,4,70.02,244,14.02,8.66,18.61,2/32,3207,12,1
Saleem Malik (PAK),Afghanistan,1980-2021,386,410,30,12938,237,36.96,20,76,12,61.53,5296,38.85,84,1508,98.95,99.34,2,115,10,16,35.39,546,36.56,6.64,48.06,2/48,381,23,9
Saeed Anwar (PAK),Sri Lanka,1987-2023,302,335,46,12876,194,41.00,31,68,7,118.23,12266,27.51,391,656,90.02,69.47,45,291,33,26,67.08,97,25.09,5.66,44.11,6/38,126,5,0
Mohammad Hafeez (PAK),Pakistan,2003-2023,392,429,4,12780,224,32.51,21,64,5,69.75,12946,22.61,348,707,83.71,74.48,26,146,46,54,70.87,489,32.93,7.19,44.47,6/43,1079,37,6
CG Greenidge (WI),Australia,1996-2021,236,312,40,12692,226,44.84,30,65,10,112.19,7668,36.93,319,804,81.22,67.78,4,15,15,10,47.42,169,42.05,6.96,43.98,6/23,4236,19,3
Q de Kock (SA),South Africa,2016-2021,301,337,20,12654,178,40.17,28,68,14,104.4,8828,26.59,337,1327,57.91,98.02,3,76,18,17,42.33,346,16.26,4.88,15.69,4/19,4256,18,2
A Ranatunga (SL),Bangladesh,2001-2022,362,410,38,12561,135*,35.78,8,87,10,142.67,8337,31.73,30,1457,94.25,66.28,1,290,22,51,35.84,495,34.63,8.1,21.65,7/39,4569,4,5
MEK Hussey (AUS),Sri Lanka,1991-2024,302,324,5,12398,195,49.00,22,72,16,83.45,14238,31.58,365,1652,98.05,66.42,36,281,41,50,50.5,475,37.32,3.51,31.05,5/27,4415,3,9
RB Richardson (WI),Sri Lanka,1986-2024,310,363,17,12197,194,37.99,21,71,0,92.26,17035,30.02,327,1469,86.31,90.5,28,171,17,56,34.06,444,43.11,3.79,42.2,7/16,3288,10,2
RR Sarwan (WI),South Africa,2005-2022,286,339,25,11944,291,40.48,20,71,12,138.52,6840,46.68,377,1999,85.06,63.59,22,120,23,34,49.91,250,38.86,9.07,33.31,3/39,3113,36,0
Shoaib Malik (ICC/PAK),New Zealand,2001-2024,446,429,29,11867,245,33.90,12,61,15,111.56,18414,46.01,80,416,91.4,62.5,49,223,20,0,23.94,156,34.16,4.32,56.71,3/27,4474,29,4
NJ Astle (NZ),Pakistan,1994-2024,308,358,49,11866,222,35.63,27,65,2,137.47,17701,34.52,480,163,98.51,98.46,13,101,17,25,63.42,268,40.87,4.8,11.33,1/12,4065,5,0
Yuvraj Singh (Asia/IND),India,2016-2023,402,391,7,11778,169,35.05,17,71,1,98.49,5039,40.22,379,851,78.22,62.96,39,180,48,56,44.53,371,15.18,3.04,20.73,2/45,1697,29,7
JM Bairstow (ENG),Sri Lanka,1980-2022,287,348,25,11581,167*,37.11,23,53,6,95.44,5225,28.47,341,1490,60.3,64.41,2,160,11,10,21.09,273,19.97,3.32,56.87,5/12,3149,2,3
A Flower (ZIM),Bangladesh,1981-2023,276,320,33,11580,232*,40.63,16,82,18,138.5,4563,28.84,239,669,70.8,83.78,39,104,29,6,63.15,285,31.87,9.44,17.35,4/42,4236,15,5
CL Hooper (WI),India,2008-2024,329,379,37,11523,233,35.89,20,56,5,140.55,7872,23.44,282,1342,74.45,92.58,13,284,47,99,89.74,468,49.24,9.01,45.94,2/16,2345,37,8
DI Gower (ENG),South Africa,1999-2024,231,315,30,11401,215,39.44,25,51,8,130.44,19971,52.45,183,959,59.38,55.9,1,28,37,38,70.58,401,17.25,9.22,28.24,5/46,598,39,7
AJ Strauss (ENG),Bangladesh,1983-2024,231,308,34,11315,177,38.48,27,54,6,105.78,17611,47.23,55,173,93.89,88.76,41,240,34,34,47.56,312,39.59,8.37,53.14,4/32,3805,38,2
F du Plessis (SA/World),Bangladesh,2001-2022,262,304,32,11198,199,42.57,23,66,16,121.15,11634,21.18,486,1116,69.88,89.36,43,150,32,82,21.04,351,26.37,9.85,23.09,3/42,4690,17,3
Shahid Afridi (Asia/ICC/PAK),England,1997-2023,524,508,29,11196,156,23.92,11,51,8,116.31,8081,31.69,397,587,52.33,74.04,31,104,26,58,84.59,275,32.09,5.05,21.06,3/39,2161,48,3
JC Buttler (ENG),South Africa,2014-2024,362,368,13,11193,162*,36.22,14,68,10,103.89,3718,46.61,92,1398,76.51,86.52,20,135,26,97,33.71,544,34.35,9.26,58.24,4/22,2028,2,1
MN Samuels (WI),Australia,1982-2022,345,388,11,11134,260,32.27,17,64,14,97.53,4848,47.78,131,1197,72.93,61.25,14,109,15,24,66.21,168,10.14,7.21,45.95,5/26,986,47,3
Misbah-ul-Haq (PAK),West Indies,2006-2022,276,315,6,11132,161*,44.35,10,84,19,67.41,4999,37.09,341,422,72.84,53.4,9,43,6,58,66.02,117,10.14,7.91,49.1,7/24,1796,47,0
VVS Laxman (IND),New Zealand,1988-2022,220,308,2,11119,281,41.64,23,66,11,129.48,17754,30.12,97,785,57.21,84.24,38,81,24,50,79.7,493,24.19,6.13,42.39,4/20,937,7,0
MA Taylor (AUS),Pakistan,2016-2021,217,296,12,11039,334*,39.14,20,68,16,74.17,10672,41.51,428,1069,88.14,50.29,32,186,1,27,45.84,76,33.68,6.21,19.42,2/47,176,17,4
SR Watson (AUS),New Zealand,1993-2023,307,334,12,10950,185*,36.74,14,67,8,96.37,17624,49.15,337,1157,91.76,66.21,36,138,10,83,82.89,553,40.28,9.09,39.45,1/35,4782,45,1
S Dhawan (IND),England,1999-2021,269,288,35,10867,190,39.66,24,55,19,123.24,14935,67.72,96,489,60.65,76.28,20,132,20,92,21.36,20,27.25,5.26,35.67,4/25,129,22,8
EJG Morgan (ENG/IRE),Sri Lanka,1994-2024,379,361,11,10859,148,35.60,16,64,7,149.89,1892,56.11,218,337,75.99,57.83,38,79,44,96,80.78,183,28.96,5.2,36.0,4/16,1159,38,0
LD Chandimal (SL),India,1988-2022,309,353,25,10779,206*,34.77,20,59,18,95.86,2194,53.11,419,1454,93.78,94.95,48,148,3,33,73.67,229,48.05,5.19,50.59,7/34,4120,8,3
Mahmudullah (BAN),South Africa,2019-2021,423,426,21,10744,150*,31.41,9,52,13,99.09,5176,67.39,150,1478,60.73,97.79,5,27,44,53,39.83,537,29.52,9.02,25.24,3/49,1225,47,8
BA Stokes (ENG),Australia,2003-2021,264,329,11,10609,258,35.72,18,59,15,83.47,1464,41.3,309,1506,52.01,78.02,43,149,9,49,56.54,462,38.75,7.75,18.46,6/16,4453,33,5
MV Boucher (Afr/ICC/SA),South Africa,1994-2024,467,448,3,10469,147*,29.00,6,61,8,98.19,9157,34.35,407,660,98.98,92.57,33,92,49,75,30.35,251,15.48,3.69,39.27,1/48,4536,39,0
DB Vengsarkar (IND),Australia,1984-2024,245,305,41,10376,166,39.30,18,58,3,133.75,19626,26.8,142,1407,81.13,62.13,31,75,36,82,32.52,537,12.2,4.77,59.4,7/22,3105,24,9
ME Trescothick (ENG),South Africa,1981-2023,202,268,14,10326,219,40.97,26,52,18,133.81,18633,33.11,493,309,61.61,66.04,19,282,27,93,70.98,322,36.42,4.52,35.53,1/46,2948,47,9
G Gambhir (IND),New Zealand,2003-2024,242,283,42,10324,206,38.95,20,63,15,114.94,17567,63.01,165,1879,92.84,79.05,15,214,44,23,74.03,56,47.42,3.41,50.81,3/14,322,1,8
TWM Latham (NZ),Pakistan,2006-2023,258,309,47,10278,264*,36.31,20,57,11,106.19,18914,29.91,125,1836,59.15,80.54,29,68,25,20,63.99,269,43.66,6.45,18.79,3/11,4622,43,1
BKG Mendis (SL),Afghanistan,1992-2022,276,331,1,10242,245,32.82,13,65,17,108.29,19059,59.7,470,627,63.35,83.69,11,83,38,94,78.18,427,19.21,9.54,26.58,7/30,3551,15,0
MD Crowe (NZ),England,2005-2022,220,271,46,10148,299,41.93,21,52,3,114.93,19266,32.87,89,250,82.59,82.98,5,218,27,80,80.72,30,29.85,9.46,18.64,4/35,4169,3,1
GW Flower (ZIM),Pakistan,1998-2023,288,337,33,10028,201*,32.03,12,55,1,127.88,19148,27.19,25,666,51.83,95.13,38,166,9,93,77.37,542,19.75,8.92,44.1,6/41,2022,12,9
BRM Taylor (ZIM),England,1995-2024,284,316,7,9938,171,34.15,17,57,14,66.91,8655,44.69,415,450,58.75,88.03,46,97,19,60,83.64,259,25.52,6.71,47.03,4/33,1848,18,6
PD Collingwood (ENG/World),South Africa,2003-2024,301,329,14,9934,206,35.47,15,49,12,92.19,8465,37.86,293,97,88.03,63.41,14,276,28,55,81.28,322,22.93,5.48,31.85,7/37,3256,49,5
Ijaz Ahmed (PAK),Sri Lanka,2009-2022,310,324,44,9879,211,33.94,22,49,4,135.16,5430,28.64,251,567,51.62,98.23,0,267,18,62,42.97,540,43.44,3.89,23.88,3/37,2904,25,0
DR Martyn (AUS),New Zealand,2010-2023,279,295,7,9872,165,42.92,18,61,11,140.25,4071,59.49,219,1529,60.67,92.36,48,142,46,64,55.76,570,29.35,5.82,26.4,7/25,650,42,0
PR Stirling (IRE),Pakistan,2007-2022,318,317,1,9801,177,32.34,16,55,4,61.15,2538,38.09,259,57,79.6,63.73,41,52,5,35,75.27,556,22.42,6.69,23.71,6/30,1688,0,8
DM Jones (AUS),New Zealand,1997-2021,216,250,1,9699,216,45.32,18,60,16,125.21,12247,25.78,51,1605,74.98,55.18,47,142,35,14,67.66,379,10.59,4.78,42.73,4/31,2767,16,8
H Masakadza (ZIM),Pakistan,2005-2022,313,350,16,9543,178*,27.90,10,53,14,60.6,7767,33.35,319,691,80.05,93.76,25,82,34,61,55.95,432,47.14,9.97,18.31,1/44,1294,18,2
MA Atherton (ENG),India,1986-2023,169,266,2,9519,185*,37.18,18,58,19,110.21,8098,54.06,131,1180,74.98,84.35,33,160,38,34,42.31,528,33.16,7.88,52.08,2/46,4916,33,8
CH Lloyd (WI),Afghanistan,2010-2022,197,244,34,9492,242*,44.98,20,50,7,114.13,8078,25.7,29,819,75.2,96.46,9,266,9,71,82.1,88,35.74,4.52,50.43,1/21,1872,19,9
GS Chappell (AUS),Australia,1995-2024,161,223,17,9441,247*,49.68,27,45,3,96.73,8342,29.26,16,1331,66.13,63.15,41,73,5,81,86.0,469,20.79,8.69,23.69,2/32,3014,8,9
WJ Cronje (SA),Bangladesh,2016-2022,256,286,24,9279,135,37.71,8,62,9,72.15,19940,63.9,244,490,83.86,83.14,24,51,2,59,89.9,468,10.35,9.8,32.8,3/22,2010,2,8
JG Wright (NZ),New Zealand,1983-2022,231,296,12,9225,185,32.03,13,47,5,67.43,803,35.61,490,960,75.57,66.44,7,232,30,41,75.75,150,24.82,6.23,16.4,2/18,1465,44,7
G Boycott (ENG),West Indies,1994-2023,144,227,18,9196,246*,45.98,23,51,6,149.59,11608,51.01,305,1797,59.2,94.41,6,33,2,92,85.73,587,29.78,6.3,11.85,4/21,3095,39,2
JP Duminy (SA),England,1981-2022,326,328,1,9154,166,36.18,10,46,9,68.07,6822,34.8,263,1426,97.41,68.25,11,190,9,22,24.73,501,46.87,8.38,39.8,7/21,2970,21,3
GP Thorpe (ENG),South Africa,1991-2023,182,256,44,9124,200*,42.43,16,60,5,105.29,19306,66.4,327,201,99.42,76.84,38,41,6,33,30.48,86,18.18,5.65,24.15,3/29,4562,32,7
WU Tharanga (Asia/SL),Sri Lanka,1988-2021,292,307,17,9112,174*,31.86,18,45,8,87.44,16400,52.54,306,1092,74.43,59.58,38,236,13,20,48.34,383,11.72,9.85,41.11,5/45,1244,22,8
N Kapil Dev (IND),Sri Lanka,2005-2022,356,382,29,9031,175*,27.53,9,41,17,96.54,5466,50.24,73,682,70.64,85.18,44,32,22,81,54.76,429,44.22,9.97,20.6,4/43,2952,42,3
Azhar Ali (PAK),Australia,2017-2022,150,233,33,8987,302*,41.03,22,47,19,90.49,18006,36.41,253,1480,64.23,51.8,7,293,38,51,69.5,454,42.87,8.14,42.91,1/49,4307,26,9
AJ Finch (AUS),India,1983-2023,254,255,11,8804,172,36.68,19,51,9,75.4,4448,34.64,257,895,75.59,97.29,32,227,11,76,67.39,141,29.69,7.37,55.15,6/22,230,13,8
Ramiz Raja (PAK),India,2006-2023,255,291,33,8674,122,32.00,11,53,3,138.64,3663,52.98,127,1043,83.98,78.23,0,210,28,92,53.65,174,21.67,5.17,10.53,3/25,663,31,8
AJ Lamb (ENG),India,2019-2023,201,257,9,8666,142,37.51,18,44,10,96.26,19569,34.86,272,1105,62.28,94.59,9,275,39,20,66.96,429,15.39,8.53,59.04,2/40,2595,28,6
JN Rhodes (SA),Australia,2006-2022,297,300,49,8467,121,35.27,5,50,4,96.56,16547,24.69,433,1020,58.17,57.05,23,87,48,47,88.2,397,13.37,6.22,20.75,2/34,1698,6,4
FDM Karunaratne (SL),Sri Lanka,1994-2022,146,229,3,8454,244,38.77,17,50,15,99.08,9828,46.32,236,376,76.83,91.35,22,275,31,81,34.26,354,15.45,6.44,49.21,5/25,2010,38,4
DJ Cullinan (SA),Australia,1996-2022,208,248,19,8414,275*,38.24,17,43,9,81.06,15553,39.91,414,1450,60.6,66.04,17,121,11,36,40.74,512,25.18,8.87,31.39,2/10,1239,9,4
AM Rahane (IND),Australia,1982-2023,195,251,37,8414,188,35.95,15,51,4,122.67,10886,54.38,28,823,85.35,78.53,7,268,20,58,54.79,402,46.16,7.79,56.31,4/48,809,13,3
HP Tillakaratne (SL),Bangladesh,2017-2024,283,299,24,8334,204*,35.61,13,33,1,111.75,13652,42.28,199,752,91.02,84.76,11,17,3,67,46.42,528,39.97,7.54,58.58,5/20,1797,4,6
CL Cairns (ICC/NZ),Afghanistan,1985-2023,279,299,11,8273,158,30.75,9,48,19,76.62,15647,55.29,352,1561,67.46,54.16,47,51,26,11,21.2,19,24.67,6.54,33.36,1/17,259,38,1
KL Rahul (IND),Afghanistan,2006-2024,202,231,15,8097,199,39.30,17,55,12,70.24,12171,50.72,214,1706,74.21,90.05,12,255,32,80,41.91,336,14.01,6.47,36.01,7/35,4028,10,4
N Hussain (ENG),Pakistan,1999-2023,184,258,17,8096,207,34.89,15,49,1,129.51,18696,28.25,170,765,60.74,52.63,46,138,19,92,20.86,333,23.05,3.0,11.45,3/35,3010,34,3
ADR Campbell (ZIM),Australia,1985-2021,248,293,27,8043,131*,29.24,9,48,15,148.09,18137,36.27,475,1882,86.99,79.04,23,118,21,38,78.16,164,16.36,6.37,49.91,5/28,1104,20,9
GS Sobers (WI),England,2012-2023,94,161,14,8032,365*,57.37,26,30,19,94.14,16192,45.34,178,1414,73.19,65.47,19,255,34,88,24.45,244,18.44,9.46,42.43,7/12,4652,21,9
CD McMillan (NZ),South Africa,1985-2021,260,281,14,8010,142,31.53,9,48,3,139.72,6797,30.94,20,570,93.53,71.18,48,78,6,33,45.15,573,22.66,8.68,30.37,1/28,2539,10,2
SK Raina (IND),South Africa,1993-2023,322,291,44,7988,120,32.87,7,48,1,139.25,16046,26.53,360,415,67.18,97.03,19,136,38,90,81.77,562,42.88,3.2,10.09,4/44,1828,12,0
JL Langer (AUS),West Indies,1982-2022,113,189,42,7856,250,44.89,23,30,17,77.37,1694,57.82,73,1498,74.81,92.86,31,65,29,79,25.55,443,12.44,3.67,43.79,5/32,3677,34,1
SD Hope (WI),England,2006-2022,203,230,5,7833,170,38.02,19,34,12,109.6,15017,55.25,237,1596,70.44,52.05,11,289,41,28,79.21,411,21.51,8.09,34.34,7/25,3632,34,2
