player_name,country,years_active,matches,innings,not_outs,runs,high_score,batting_average,hundreds,fifties,ducks,batting_strike_rate,balls_faced,boundary_%,sixes_hit,fours_hit,consistency_score,player_impact_score,man_of_the_match_awards,catches_taken,stumpings,run_outs,matches_won_contribution_(%),bowling_wickets,bowling_average,bowling_economy_rate,bowling_strike_rate,best_bowling_figures,overs_bowled,five-wicket_hauls,ten-wicket_hauls,strike_rate
Yuvraj Singh (Asia/IND),India,2016-2023,402,391,7,11778,169,35.05,17,71,1,98.49,5039,40.22,379,851,78.22,62.96,39,180,48,56,44.53,371,15.18,3.04,20.73,2/45,1697,29,7,2929.850746268657
JM Bairstow (ENG),Sri Lanka,1980-2022,287,348,25,11581,167*,37.11,23,53,6,95.44,5225,28.47,341,1490,60.3,64.41,2,160,11,10,21.09,273,19.97,3.32,56.87,5/12,3149,2,3,4035.1916376306617
A Flower (ZIM),Bangladesh,1981-2023,276,320,33,11580,232*,40.63,16,82,18,138.5,4563,28.84,239,669,70.8,83.78,39,104,29,6,63.15,285,31.87,9.44,17.35,4/42,4236,15,5,4195.652173913044
CL Hooper (WI),India,2008-2024,329,379,37,11523,233,35.89,20,56,5,140.55,7872,23.44,282,1342,74.45,92.58,13,284,47,99,89.74,468,49.24,9.01,45.94,2/16,2345,37,8,3502.4316109422493
DI Gower (ENG),South Africa,1999-2024,231,315,30,11401,215,39.44,25,51,8,130.44,19971,52.45,183,959,59.38,55.9,1,28,37,38,70.58,401,17.25,9.22,28.24,5/46,598,39,7,4935.497835497836
AJ Strauss (ENG),Bangladesh,1983-2024,231,308,34,11315,177,38.48,27,54,6,105.78,17611,47.23,55,173,93.89,88.76,41,240,34,34,47.56,312,39.59,8.37,53.14,4/32,3805,38,2,4898.268398268398
F du Plessis (SA/World),Bangladesh,2001-2022,262,304,32,11198,199,42.57,23,66,16,121.15,11634,21.18,486,1116,69.88,89.36,43,150,32,82,21.04,351,26.37,9.85,23.09,3/42,4690,17,3,4274.045801526718
Shahid Afridi (Asia/ICC/PAK),England,1997-2023,524,508,29,11196,156,23.92,11,51,8,116.31,8081,31.69,397,587,52.33,74.04,31,104,26,58,84.59,275,32.09,5.05,21.06,3/39,2161,48,3,2136.6412213740455
JC Buttler (ENG),South Africa,2014-2024,362,368,13,11193,162*,36.22,14,68,10,103.89,3718,46.61,92,1398,76.51,86.52,20,135,26,97,33.71,544,34.35,9.26,58.24,4/22,2028,2,1,3091.988950276243
MN Samuels (WI),Australia,1982-2022,345,388,11,11134,260,32.27,17,64,14,97.53,4848,47.78,131,1197,72.93,61.25,14,109,15,24,66.21,168,10.14,7.21,45.95,5/26,986,47,3,3227.246376811594
Misbah-ul-Haq (PAK),West Indies,2006-2022,276,315,6,11132,161*,44.35,10,84,19,67.41,4999,37.09,341,422,72.84,53.4,9,43,6,58,66.02,117,10.14,7.91,49.1,7/24,1796,47,0,4033.3333333333335
VVS Laxman (IND),New Zealand,1988-2022,220,308,2,11119,281,41.64,23,66,11,129.48,17754,30.12,97,785,57.21,84.24,38,81,24,50,79.7,493,24.19,6.13,42.39,4/20,937,7,0,5054.090909090909
MA Taylor (AUS),Pakistan,2016-2021,217,296,12,11039,334*,39.14,20,68,16,74.17,10672,41.51,428,1069,88.14,50.29,32,186,1,27,45.84,76,33.68,6.21,19.42,2/47,176,17,4,5087.096774193548
SR Watson (AUS),New Zealand,1993-2023,307,334,12,10950,185*,36.74,14,67,8,96.37,17624,49.15,337,1157,91.76,66.21,36,138,10,83,82.89,553,40.28,9.09,39.45,1/35,4782,45,1,3566.7752442996743
S Dhawan (IND),England,1999-2021,269,288,35,10867,190,39.66,24,55,19,123.24,14935,67.72,96,489,60.65,76.28,20,132,20,92,21.36,20,27.25,5.26,35.67,4/25,129,22,8,4039.776951672862
EJG Morgan (ENG/IRE),Sri Lanka,1994-2024,379,361,11,10859,148,35.60,16,64,7,149.89,1892,56.11,218,337,75.99,57.83,38,79,44,96,80.78,183,28.96,5.2,36.0,4/16,1159,38,0,2865.171503957784
LD Chandimal (SL),India,1988-2022,309,353,25,10779,206*,34.77,20,59,18,95.86,2194,53.11,419,1454,93.78,94.95,48,148,3,33,73.67,229,48.05,5.19,50.59,7/34,4120,8,3,3488.349514563107
Mahmudullah (BAN),South Africa,2019-2021,423,426,21,10744,150*,31.41,9,52,13,99.09,5176,67.39,150,1478,60.73,97.79,5,27,44,53,39.83,537,29.52,9.02,25.24,3/49,1225,47,8,2539.952718676123
BA Stokes (ENG),Australia,2003-2021,264,329,11,10609,258,35.72,18,59,15,83.47,1464,41.3,309,1506,52.01,78.02,43,149,9,49,56.54,462,38.75,7.75,18.46,6/16,4453,33,5,4018.560606060606
MV Boucher (Afr/ICC/SA),South Africa,1994-2024,467,448,3,10469,147*,29.00,6,61,8,98.19,9157,34.35,407,660,98.98,92.57,33,92,49,75,30.35,251,15.48,3.69,39.27,1/48,4536,39,0,2241.7558886509637
DB Vengsarkar (IND),Australia,1984-2024,245,305,41,10376,166,39.30,18,58,3,133.75,19626,26.8,142,1407,81.13,62.13,31,75,36,82,32.52,537,12.2,4.77,59.4,7/22,3105,24,9,4235.102040816327
ME Trescothick (ENG),South Africa,1981-2023,202,268,14,10326,219,40.97,26,52,18,133.81,18633,33.11,493,309,61.61,66.04,19,282,27,93,70.98,322,36.42,4.52,35.53,1/46,2948,47,9,5111.881188118811
G Gambhir (IND),New Zealand,2003-2024,242,283,42,10324,206,38.95,20,63,15,114.94,17567,63.01,165,1879,92.84,79.05,15,214,44,23,74.03,56,47.42,3.41,50.81,3/14,322,1,8,4266.115702479339
TWM Latham (NZ),Pakistan,2006-2023,258,309,47,10278,264*,36.31,20,57,11,106.19,18914,29.91,125,1836,59.15,80.54,29,68,25,20,63.99,269,43.66,6.45,18.79,3/11,4622,43,1,3983.720930232558
BKG Mendis (SL),Afghanistan,1992-2022,276,331,1,10242,245,32.82,13,65,17,108.29,19059,59.7,470,627,63.35,83.69,11,83,38,94,78.18,427,19.21,9.54,26.58,7/30,3551,15,0,3710.8695652173915
MD Crowe (NZ),England,2005-2022,220,271,46,10148,299,41.93,21,52,3,114.93,19266,32.87,89,250,82.59,82.98,5,218,27,80,80.72,30,29.85,9.46,18.64,4/35,4169,3,1,4612.727272727272
GW Flower (ZIM),Pakistan,1998-2023,288,337,33,10028,201*,32.03,12,55,1,127.88,19148,27.19,25,666,51.83,95.13,38,166,9,93,77.37,542,19.75,8.92,44.1,6/41,2022,12,9,3481.9444444444443
BRM Taylor (ZIM),England,1995-2024,284,316,7,9938,171,34.15,17,57,14,66.91,8655,44.69,415,450,58.75,88.03,46,97,19,60,83.64,259,25.52,6.71,47.03,4/33,1848,18,6,3499.2957746478874
PD Collingwood (ENG/World),South Africa,2003-2024,301,329,14,9934,206,35.47,15,49,12,92.19,8465,37.86,293,97,88.03,63.41,14,276,28,55,81.28,322,22.93,5.48,31.85,7/37,3256,49,5,3300.332225913621
Ijaz Ahmed (PAK),Sri Lanka,2009-2022,310,324,44,9879,211,33.94,22,49,4,135.16,5430,28.64,251,567,51.62,98.23,0,267,18,62,42.97,540,43.44,3.89,23.88,3/37,2904,25,0,3186.774193548387
DR Martyn (AUS),New Zealand,2010-2023,279,295,7,9872,165,42.92,18,61,11,140.25,4071,59.49,219,1529,60.67,92.36,48,142,46,64,55.76,570,29.35,5.82,26.4,7/25,650,42,0,3538.351254480287
PR Stirling (IRE),Pakistan,2007-2022,318,317,1,9801,177,32.34,16,55,4,61.15,2538,38.09,259,57,79.6,63.73,41,52,5,35,75.27,556,22.42,6.69,23.71,6/30,1688,0,8,3082.0754716981132
DM Jones (AUS),New Zealand,1997-2021,216,250,1,9699,216,45.32,18,60,16,125.21,12247,25.78,51,1605,74.98,55.18,47,142,35,14,67.66,379,10.59,4.78,42.73,4/31,2767,16,8,4490.277777777778
H Masakadza (ZIM),Pakistan,2005-2022,313,350,16,9543,178*,27.90,10,53,14,60.6,7767,33.35,319,691,80.05,93.76,25,82,34,61,55.95,432,47.14,9.97,18.31,1/44,1294,18,2,3048.88178913738
MA Atherton (ENG),India,1986-2023,169,266,2,9519,185*,37.18,18,58,19,110.21,8098,54.06,131,1180,74.98,84.35,33,160,38,34,42.31,528,33.16,7.88,52.08,2/46,4916,33,8,5632.544378698225
CH Lloyd (WI),Afghanistan,2010-2022,197,244,34,9492,242*,44.98,20,50,7,114.13,8078,25.7,29,819,75.2,96.46,9,266,9,71,82.1,88,35.74,4.52,50.43,1/21,1872,19,9,4818.274111675127
GS Chappell (AUS),Australia,1995-2024,161,223,17,9441,247*,49.68,27,45,3,96.73,8342,29.26,16,1331,66.13,63.15,41,73,5,81,86.0,469,20.79,8.69,23.69,2/32,3014,8,9,5863.975155279503
WJ Cronje (SA),Bangladesh,2016-2022,256,286,24,9279,135,37.71,8,62,9,72.15,19940,63.9,244,490,83.86,83.14,24,51,2,59,89.9,468,10.35,9.8,32.8,3/22,2010,2,8,3624.609375
JG Wright (NZ),New Zealand,1983-2022,231,296,12,9225,185,32.03,13,47,5,67.43,803,35.61,490,960,75.57,66.44,7,232,30,41,75.75,150,24.82,6.23,16.4,2/18,1465,44,7,3993.506493506494
G Boycott (ENG),West Indies,1994-2023,144,227,18,9196,246*,45.98,23,51,6,149.59,11608,51.01,305,1797,59.2,94.41,6,33,2,92,85.73,587,29.78,6.3,11.85,4/21,3095,39,2,6386.111111111111
JP Duminy (SA),England,1981-2022,326,328,1,9154,166,36.18,10,46,9,68.07,6822,34.8,263,1426,97.41,68.25,11,190,9,22,24.73,501,46.87,8.38,39.8,7/21,2970,21,3,2807.9754601226996
GP Thorpe (ENG),South Africa,1991-2023,182,256,44,9124,200*,42.43,16,60,5,105.29,19306,66.4,327,201,99.42,76.84,38,41,6,33,30.48,86,18.18,5.65,24.15,3/29,4562,32,7,5013.186813186813
WU Tharanga (Asia/SL),Sri Lanka,1988-2021,292,307,17,9112,174*,31.86,18,45,8,87.44,16400,52.54,306,1092,74.43,59.58,38,236,13,20,48.34,383,11.72,9.85,41.11,5/45,1244,22,8,3120.5479452054797
N Kapil Dev (IND),Sri Lanka,2005-2022,356,382,29,9031,175*,27.53,9,41,17,96.54,5466,50.24,73,682,70.64,85.18,44,32,22,81,54.76,429,44.22,9.97,20.6,4/43,2952,42,3,2536.7977528089887
Azhar Ali (PAK),Australia,2017-2022,150,233,33,8987,302*,41.03,22,47,19,90.49,18006,36.41,253,1480,64.23,51.8,7,293,38,51,69.5,454,42.87,8.14,42.91,1/49,4307,26,9,5991.333333333333
AJ Finch (AUS),India,1983-2023,254,255,11,8804,172,36.68,19,51,9,75.4,4448,34.64,257,895,75.59,97.29,32,227,11,76,67.39,141,29.69,7.37,55.15,6/22,230,13,8,3466.1417322834645
Ramiz Raja (PAK),India,2006-2023,255,291,33,8674,122,32.00,11,53,3,138.64,3663,52.98,127,1043,83.98,78.23,0,210,28,92,53.65,174,21.67,5.17,10.53,3/25,663,31,8,3401.5686274509803
AJ Lamb (ENG),India,2019-2023,201,257,9,8666,142,37.51,18,44,10,96.26,19569,34.86,272,1105,62.28,94.59,9,275,39,20,66.96,429,15.39,8.53,59.04,2/40,2595,28,6,4311.442786069651
JN Rhodes (SA),Australia,2006-2022,297,300,49,8467,121,35.27,5,50,4,96.56,16547,24.69,433,1020,58.17,57.05,23,87,48,47,88.2,397,13.37,6.22,20.75,2/34,1698,6,4,2850.841750841751
FDM Karunaratne (SL),Sri Lanka,1994-2022,146,229,3,8454,244,38.77,17,50,15,99.08,9828,46.32,236,376,76.83,91.35,22,275,31,81,34.26,354,15.45,6.44,49.21,5/25,2010,38,4,5790.41095890411
DJ Cullinan (SA),Australia,1996-2022,208,248,19,8414,275*,38.24,17,43,9,81.06,15553,39.91,414,1450,60.6,66.04,17,121,11,36,40.74,512,25.18,8.87,31.39,2/10,1239,9,4,4045.192307692308
AM Rahane (IND),Australia,1982-2023,195,251,37,8414,188,35.95,15,51,4,122.67,10886,54.38,28,823,85.35,78.53,7,268,20,58,54.79,402,46.16,7.79,56.31,4/48,809,13,3,4314.871794871795
